day,dai_name,dai_num,game,difference,bb,rb,Total,big_per,reg_per
2026-02-08,かぐや様は告らせたい,418,3324,-1500,13,6,174.9,255.7,554.0
2026-02-08,かぐや様は告らせたい,419,2194,-2500,3,3,365.7,731.3,731.3
2026-02-08,かぐや様は告らせたい,420,45,0,0,0,0.0,0.0,0.0
2026-02-08,かぐや様は告らせたい,421,1923,-1200,5,3,240.4,384.6,641.0
2026-02-08,かぐや様は告らせたい,422,80,-100,0,0,0.0,0.0,0.0
2026-02-08,かぐや様は告らせたい,423,1731,-1500,4,2,288.5,432.8,865.5
2026-02-08,かぐや様は告らせたい,424,41,0,0,0,0.0,0.0,0.0
2026-02-08,かぐや様は告らせたい,425,37,0,0,0,0.0,0.0,0.0
2026-02-08,かぐや様は告らせたい,426,3801,-1500,16,5,181.0,237.6,760.2
2026-02-08,スマスロ北斗の拳,523,3726,-2300,23,8,120.2,162.0,465.8
2026-02-08,スマスロ北斗の拳,524,6067,1600,76,17,65.2,79.8,356.9
2026-02-08,スマスロ北斗の拳,525,5025,-1300,46,15,82.4,109.2,335.0
2026-02-08,スマスロ北斗の拳,526,4504,-1000,40,11,88.3,112.6,409.5
2026-02-08,スマスロ北斗の拳,527,1802,2300,37,2,46.2,48.7,901.0
2026-02-08,スマスロ北斗の拳,528,0,0,0,0,0.0,0.0,0.0
2026-02-08,スマスロ北斗の拳,529,2878,-2700,9,4,221.4,319.8,719.5
2026-02-08,スマスロ北斗の拳,530,6719,600,72,19,73.8,93.3,353.6
2026-02-08,スマスロ北斗の拳,531,4785,500,49,14,76.0,97.7,341.8
2026-02-08,スマスロ北斗の拳,532,5088,2800,82,17,51.4,62.0,299.3
2026-02-08,モンキーターンV,508,4975,-1700,47,17,77.7,105.9,292.6
2026-02-08,モンキーターンV,509,876,-800,6,4,87.6,146.0,219.0
2026-02-08,モンキーターンV,510,2139,-1600,13,6,112.6,164.5,356.5
2026-02-08,モンキーターンV,511,2902,1300,43,11,53.7,67.5,263.8
2026-02-08,モンキーターンV,512,1564,3900,31,3,46.0,50.5,521.3
2026-02-08,モンキーターンV,513,2470,-1600,12,7,130.0,205.8,352.9
2026-02-08,モンキーターンV,514,2437,-400,19,10,84.0,128.3,243.7
2026-02-08,モンキーターンV,515,2509,0,30,9,64.3,83.6,278.8
